year,cites_per_year,author
2003,187,SAEZ Emmanuel
2004,259,SAEZ Emmanuel
2005,389,SAEZ Emmanuel
2006,482,SAEZ Emmanuel
2007,657,SAEZ Emmanuel
2008,902,SAEZ Emmanuel
2009,1005,SAEZ Emmanuel
2010,1119,SAEZ Emmanuel
2011,1640,SAEZ Emmanuel
2012,2233,SAEZ Emmanuel
2013,2513,SAEZ Emmanuel
2014,3582,SAEZ Emmanuel
2015,3987,SAEZ Emmanuel
2016,4453,SAEZ Emmanuel
2017,4769,SAEZ Emmanuel
2018,5382,SAEZ Emmanuel
2019,5678,SAEZ Emmanuel
2020,6415,SAEZ Emmanuel
2021,6452,SAEZ Emmanuel
2022,6661,SAEZ Emmanuel
2023,3631,SAEZ Emmanuel
1987,15,NUNEZ Rafael
1988,17,NUNEZ Rafael
1989,17,NUNEZ Rafael
1990,16,NUNEZ Rafael
1991,15,NUNEZ Rafael
1992,23,NUNEZ Rafael
1993,16,NUNEZ Rafael
1994,17,NUNEZ Rafael
1995,31,NUNEZ Rafael
1996,38,NUNEZ Rafael
1997,31,NUNEZ Rafael
1998,65,NUNEZ Rafael
1999,44,NUNEZ Rafael
2000,77,NUNEZ Rafael
2001,82,NUNEZ Rafael
2002,97,NUNEZ Rafael
2003,126,NUNEZ Rafael
2004,140,NUNEZ Rafael
2005,162,NUNEZ Rafael
2006,181,NUNEZ Rafael
2007,178,NUNEZ Rafael
2008,209,NUNEZ Rafael
2009,205,NUNEZ Rafael
2010,238,NUNEZ Rafael
2011,221,NUNEZ Rafael
2012,250,NUNEZ Rafael
2013,278,NUNEZ Rafael
2014,251,NUNEZ Rafael
2015,333,NUNEZ Rafael
2016,298,NUNEZ Rafael
2017,322,NUNEZ Rafael
2018,326,NUNEZ Rafael
2019,317,NUNEZ Rafael
2020,258,NUNEZ Rafael
2021,280,NUNEZ Rafael
2022,250,NUNEZ Rafael
2023,144,NUNEZ Rafael
2009,14,STACHEWICZ Urszula
2010,28,STACHEWICZ Urszula
2011,38,STACHEWICZ Urszula
2012,57,STACHEWICZ Urszula
2013,51,STACHEWICZ Urszula
2014,69,STACHEWICZ Urszula
2015,98,STACHEWICZ Urszula
2016,87,STACHEWICZ Urszula
2017,114,STACHEWICZ Urszula
2018,105,STACHEWICZ Urszula
2019,178,STACHEWICZ Urszula
2020,314,STACHEWICZ Urszula
2021,553,STACHEWICZ Urszula
2022,724,STACHEWICZ Urszula
2023,484,STACHEWICZ Urszula
2008,59,FALISZEWSKI Piotr
2009,86,FALISZEWSKI Piotr
2010,165,FALISZEWSKI Piotr
2011,202,FALISZEWSKI Piotr
2012,331,FALISZEWSKI Piotr
2013,225,FALISZEWSKI Piotr
2014,276,FALISZEWSKI Piotr
2015,383,FALISZEWSKI Piotr
2016,549,FALISZEWSKI Piotr
2017,525,FALISZEWSKI Piotr
2018,440,FALISZEWSKI Piotr
2019,530,FALISZEWSKI Piotr
2020,557,FALISZEWSKI Piotr
2021,611,FALISZEWSKI Piotr
2022,644,FALISZEWSKI Piotr
2023,379,FALISZEWSKI Piotr
2010,21,HACHEM Elie
2011,43,HACHEM Elie
2012,49,HACHEM Elie
2013,54,HACHEM Elie
2014,100,HACHEM Elie
2015,84,HACHEM Elie
2016,164,HACHEM Elie
2017,210,HACHEM Elie
2018,121,HACHEM Elie
2019,135,HACHEM Elie
2020,198,HACHEM Elie
2021,214,HACHEM Elie
2022,354,HACHEM Elie
2023,285,HACHEM Elie
2012,23,Leghtas Zaki
2013,74,Leghtas Zaki
2014,182,Leghtas Zaki
2015,291,Leghtas Zaki
2016,455,Leghtas Zaki
2017,574,Leghtas Zaki
2018,504,Leghtas Zaki
2019,672,Leghtas Zaki
2020,739,Leghtas Zaki
2021,776,Leghtas Zaki
2022,934,Leghtas Zaki
2023,653,Leghtas Zaki
