year,publications_per_year,author
2003,5,SAEZ Emmanuel
2014,17,SAEZ Emmanuel
2011,16,SAEZ Emmanuel
2016,14,SAEZ Emmanuel
2018,24,SAEZ Emmanuel
2012,10,SAEZ Emmanuel
2001,3,SAEZ Emmanuel
2010,9,SAEZ Emmanuel
2002,5,SAEZ Emmanuel
2013,16,SAEZ Emmanuel
2006,11,SAEZ Emmanuel
2019,20,SAEZ Emmanuel
2020,27,SAEZ Emmanuel
2015,12,SAEZ Emmanuel
2005,6,SAEZ Emmanuel
2007,6,SAEZ Emmanuel
2022,15,SAEZ Emmanuel
2004,6,SAEZ Emmanuel
2017,12,SAEZ Emmanuel
2008,5,SAEZ Emmanuel
2009,4,SAEZ Emmanuel
2021,14,SAEZ Emmanuel
1985,1,SAEZ Emmanuel
1998,1,SAEZ Emmanuel
1999,2,SAEZ Emmanuel
1999,32,NUNEZ Rafael
2001,29,NUNEZ Rafael
2008,5,NUNEZ Rafael
2002,6,NUNEZ Rafael
1996,32,NUNEZ Rafael
2000,24,NUNEZ Rafael
2005,4,NUNEZ Rafael
2007,1,NUNEZ Rafael
1984,11,NUNEZ Rafael
2012,2,NUNEZ Rafael
1922,1,NUNEZ Rafael
2003,3,NUNEZ Rafael
1995,20,NUNEZ Rafael
2014,5,NUNEZ Rafael
2011,6,NUNEZ Rafael
1993,30,NUNEZ Rafael
1997,25,NUNEZ Rafael
2018,3,NUNEZ Rafael
2013,5,NUNEZ Rafael
1983,8,NUNEZ Rafael
2010,1,NUNEZ Rafael
2015,4,NUNEZ Rafael
2019,6,NUNEZ Rafael
2016,1,NUNEZ Rafael
1994,13,NUNEZ Rafael
1992,21,NUNEZ Rafael
1987,4,NUNEZ Rafael
1985,6,NUNEZ Rafael
1991,12,NUNEZ Rafael
1986,9,NUNEZ Rafael
1978,1,NUNEZ Rafael
1989,11,NUNEZ Rafael
1982,8,NUNEZ Rafael
1998,16,NUNEZ Rafael
1988,9,NUNEZ Rafael
2021,4,NUNEZ Rafael
2020,1,NUNEZ Rafael
2009,4,NUNEZ Rafael
1970,4,NUNEZ Rafael
1925,1,NUNEZ Rafael
2004,2,NUNEZ Rafael
1980,12,NUNEZ Rafael
1973,4,NUNEZ Rafael
2017,4,NUNEZ Rafael
1981,4,NUNEZ Rafael
2022,1,NUNEZ Rafael
2006,1,NUNEZ Rafael
1990,2,NUNEZ Rafael
1979,7,NUNEZ Rafael
1977,2,NUNEZ Rafael
1976,4,NUNEZ Rafael
1975,3,NUNEZ Rafael
1972,2,NUNEZ Rafael
1969,1,NUNEZ Rafael
1965,2,NUNEZ Rafael
1964,2,NUNEZ Rafael
1954,1,NUNEZ Rafael
1952,1,NUNEZ Rafael
1940,1,NUNEZ Rafael
1926,1,NUNEZ Rafael
1914,1,NUNEZ Rafael
2006,1,STACHEWICZ Urszula
2018,3,STACHEWICZ Urszula
2019,12,STACHEWICZ Urszula
2020,17,STACHEWICZ Urszula
2015,3,STACHEWICZ Urszula
2012,7,STACHEWICZ Urszula
2011,3,STACHEWICZ Urszula
2021,17,STACHEWICZ Urszula
2009,3,STACHEWICZ Urszula
2016,2,STACHEWICZ Urszula
2014,1,STACHEWICZ Urszula
2023,10,STACHEWICZ Urszula
2010,3,STACHEWICZ Urszula
2007,1,STACHEWICZ Urszula
2017,1,STACHEWICZ Urszula
2022,14,STACHEWICZ Urszula
2008,2,STACHEWICZ Urszula
2009,7,FALISZEWSKI Piotr
2017,16,FALISZEWSKI Piotr
2010,13,FALISZEWSKI Piotr
2016,16,FALISZEWSKI Piotr
2011,10,FALISZEWSKI Piotr
2015,9,FALISZEWSKI Piotr
2008,5,FALISZEWSKI Piotr
2012,3,FALISZEWSKI Piotr
2019,14,FALISZEWSKI Piotr
2018,6,FALISZEWSKI Piotr
2014,3,FALISZEWSKI Piotr
2022,15,FALISZEWSKI Piotr
2021,7,FALISZEWSKI Piotr
2020,11,FALISZEWSKI Piotr
2013,4,FALISZEWSKI Piotr
2005,6,FALISZEWSKI Piotr
2006,1,FALISZEWSKI Piotr
2023,9,FALISZEWSKI Piotr
2004,1,FALISZEWSKI Piotr
2007,2,FALISZEWSKI Piotr
2010,13,HACHEM Elie
2013,24,HACHEM Elie
2021,13,HACHEM Elie
2009,6,HACHEM Elie
2012,12,HACHEM Elie
2016,25,HACHEM Elie
2019,17,HACHEM Elie
2020,10,HACHEM Elie
2015,21,HACHEM Elie
2022,18,HACHEM Elie
2014,15,HACHEM Elie
2017,24,HACHEM Elie
2018,25,HACHEM Elie
2023,7,HACHEM Elie
2011,16,HACHEM Elie
2007,1,HACHEM Elie
2008,1,HACHEM Elie
2016,12,Leghtas Zaki
2013,16,Leghtas Zaki
2014,8,Leghtas Zaki
2015,15,Leghtas Zaki
2020,7,Leghtas Zaki
2018,6,Leghtas Zaki
2019,12,Leghtas Zaki
2021,4,Leghtas Zaki
2011,2,Leghtas Zaki
2012,7,Leghtas Zaki
2022,9,Leghtas Zaki
2023,10,Leghtas Zaki
2009,1,Leghtas Zaki
2017,5,Leghtas Zaki
2008,1,Leghtas Zaki
2007,7,Muniesa Fabian
2005,7,Muniesa Fabian
2014,4,Muniesa Fabian
2012,6,Muniesa Fabian
2003,4,Muniesa Fabian
2013,7,Muniesa Fabian
2009,4,Muniesa Fabian
2020,9,Muniesa Fabian
2017,10,Muniesa Fabian
2000,4,Muniesa Fabian
2011,8,Muniesa Fabian
2015,2,Muniesa Fabian
2008,4,Muniesa Fabian
2010,4,Muniesa Fabian
2016,6,Muniesa Fabian
2006,4,Muniesa Fabian
2021,3,Muniesa Fabian
2018,7,Muniesa Fabian
2004,2,Muniesa Fabian
2019,5,Muniesa Fabian
2023,6,Muniesa Fabian
2022,4,Muniesa Fabian
1997,1,Muniesa Fabian
1999,3,Muniesa Fabian
1995,11,ROUCHON Pierre
1999,5,ROUCHON Pierre
2011,14,ROUCHON Pierre
1993,14,ROUCHON Pierre
1992,6,ROUCHON Pierre
2001,11,ROUCHON Pierre
2008,19,ROUCHON Pierre
2000,5,ROUCHON Pierre
2005,17,ROUCHON Pierre
2017,12,ROUCHON Pierre
1987,2,ROUCHON Pierre
2009,22,ROUCHON Pierre
2003,11,ROUCHON Pierre
1994,6,ROUCHON Pierre
1991,5,ROUCHON Pierre
2002,11,ROUCHON Pierre
2016,19,ROUCHON Pierre
1997,17,ROUCHON Pierre
2007,13,ROUCHON Pierre
2013,15,ROUCHON Pierre
2010,16,ROUCHON Pierre
2004,15,ROUCHON Pierre
1998,14,ROUCHON Pierre
1996,9,ROUCHON Pierre
2006,22,ROUCHON Pierre
2015,13,ROUCHON Pierre
2014,11,ROUCHON Pierre
2020,9,ROUCHON Pierre
1985,4,ROUCHON Pierre
2012,27,ROUCHON Pierre
1990,3,ROUCHON Pierre
2021,5,ROUCHON Pierre
2018,6,ROUCHON Pierre
2019,8,ROUCHON Pierre
1986,2,ROUCHON Pierre
2023,8,ROUCHON Pierre
1988,1,ROUCHON Pierre
2022,14,ROUCHON Pierre
1989,1,ROUCHON Pierre
2019,5,TILLOY Antoine
2016,4,TILLOY Antoine
2017,5,TILLOY Antoine
2015,2,TILLOY Antoine
2014,2,TILLOY Antoine
2013,3,TILLOY Antoine
2020,3,TILLOY Antoine
2018,3,TILLOY Antoine
2021,5,TILLOY Antoine
2023,1,TILLOY Antoine
2022,3,TILLOY Antoine
2012,7,Vert Jean-Philippe
2015,15,Vert Jean-Philippe
2009,10,Vert Jean-Philippe
2004,16,Vert Jean-Philippe
2014,15,Vert Jean-Philippe
2018,13,Vert Jean-Philippe
2011,9,Vert Jean-Philippe
2008,9,Vert Jean-Philippe
2006,7,Vert Jean-Philippe
2007,11,Vert Jean-Philippe
2005,8,Vert Jean-Philippe
2002,6,Vert Jean-Philippe
2003,5,Vert Jean-Philippe
2020,12,Vert Jean-Philippe
2019,11,Vert Jean-Philippe
2010,8,Vert Jean-Philippe
2022,6,Vert Jean-Philippe
2016,2,Vert Jean-Philippe
2013,6,Vert Jean-Philippe
2017,8,Vert Jean-Philippe
2021,6,Vert Jean-Philippe
2023,7,Vert Jean-Philippe
2001,5,Vert Jean-Philippe
2000,1,Vert Jean-Philippe
1999,1,Vert Jean-Philippe
1998,1,Vert Jean-Philippe
1993,1,Vert Jean-Philippe
2016,8,MAGRACH Ainhoa
2014,9,MAGRACH Ainhoa
2018,5,MAGRACH Ainhoa
2017,3,MAGRACH Ainhoa
2015,8,MAGRACH Ainhoa
2019,11,MAGRACH Ainhoa
2020,2,MAGRACH Ainhoa
2012,5,MAGRACH Ainhoa
2011,3,MAGRACH Ainhoa
2013,5,MAGRACH Ainhoa
2022,7,MAGRACH Ainhoa
2021,3,MAGRACH Ainhoa
2009,1,MAGRACH Ainhoa
2023,3,MAGRACH Ainhoa
2012,1,MONTOYA Daniel
2017,3,MONTOYA Daniel
2009,2,MONTOYA Daniel
2018,2,MONTOYA Daniel
2007,4,MONTOYA Daniel
2008,2,MONTOYA Daniel
2020,4,MONTOYA Daniel
2005,1,MONTOYA Daniel
2015,2,MONTOYA Daniel
2016,3,MONTOYA Daniel
2019,6,MONTOYA Daniel
2014,2,MONTOYA Daniel
2010,1,MONTOYA Daniel
2022,1,MONTOYA Daniel
2011,3,MONTOYA Daniel
2021,2,MONTOYA Daniel
2023,2,MONTOYA Daniel
2020,5,Ibañez Azpiroz Julen
2018,6,Ibañez Azpiroz Julen
2011,1,Ibañez Azpiroz Julen
2013,4,Ibañez Azpiroz Julen
2017,4,Ibañez Azpiroz Julen
2016,3,Ibañez Azpiroz Julen
2012,1,Ibañez Azpiroz Julen
2014,2,Ibañez Azpiroz Julen
2022,1,Ibañez Azpiroz Julen
2015,1,Ibañez Azpiroz Julen
2023,5,Ibañez Azpiroz Julen
2021,2,Ibañez Azpiroz Julen
2019,5,Ibañez Azpiroz Julen
2009,18,CARDOSO Vitor
2015,21,CARDOSO Vitor
2017,19,CARDOSO Vitor
2020,22,CARDOSO Vitor
2006,18,CARDOSO Vitor
2016,22,CARDOSO Vitor
2019,24,CARDOSO Vitor
2004,11,CARDOSO Vitor
2014,20,CARDOSO Vitor
2007,7,CARDOSO Vitor
2001,4,CARDOSO Vitor
2013,20,CARDOSO Vitor
2012,13,CARDOSO Vitor
2003,12,CARDOSO Vitor
2018,22,CARDOSO Vitor
2010,13,CARDOSO Vitor
2011,21,CARDOSO Vitor
2008,10,CARDOSO Vitor
2005,9,CARDOSO Vitor
2022,29,CARDOSO Vitor
2002,8,CARDOSO Vitor
2021,19,CARDOSO Vitor
2023,20,CARDOSO Vitor
2011,18,GRAM-HANSSEN Kirsten
2010,9,GRAM-HANSSEN Kirsten
2018,7,GRAM-HANSSEN Kirsten
2004,9,GRAM-HANSSEN Kirsten
2013,8,GRAM-HANSSEN Kirsten
2008,9,GRAM-HANSSEN Kirsten
2014,9,GRAM-HANSSEN Kirsten
2007,10,GRAM-HANSSEN Kirsten
2012,9,GRAM-HANSSEN Kirsten
2005,14,GRAM-HANSSEN Kirsten
2019,10,GRAM-HANSSEN Kirsten
2017,5,GRAM-HANSSEN Kirsten
2020,13,GRAM-HANSSEN Kirsten
2003,2,GRAM-HANSSEN Kirsten
2006,12,GRAM-HANSSEN Kirsten
2000,6,GRAM-HANSSEN Kirsten
2021,9,GRAM-HANSSEN Kirsten
2002,7,GRAM-HANSSEN Kirsten
2022,9,GRAM-HANSSEN Kirsten
2016,8,GRAM-HANSSEN Kirsten
2009,13,GRAM-HANSSEN Kirsten
2015,9,GRAM-HANSSEN Kirsten
1996,4,GRAM-HANSSEN Kirsten
1998,2,GRAM-HANSSEN Kirsten
2001,5,GRAM-HANSSEN Kirsten
1997,3,GRAM-HANSSEN Kirsten
2023,7,GRAM-HANSSEN Kirsten
1999,2,GRAM-HANSSEN Kirsten
1991,2,GRAM-HANSSEN Kirsten
2006,77,Blåbjerg Frede
2005,67,Blåbjerg Frede
2012,73,Blåbjerg Frede
2004,79,Blåbjerg Frede
2014,135,Blåbjerg Frede
2013,98,Blåbjerg Frede
2002,63,Blåbjerg Frede
2009,40,Blåbjerg Frede
2017,288,Blåbjerg Frede
2010,33,Blåbjerg Frede
2011,55,Blåbjerg Frede
2001,45,Blåbjerg Frede
2000,31,Blåbjerg Frede
2007,67,Blåbjerg Frede
2018,328,Blåbjerg Frede
2015,190,Blåbjerg Frede
2008,37,Blåbjerg Frede
1997,20,Blåbjerg Frede
2003,47,Blåbjerg Frede
1994,15,Blåbjerg Frede
1995,13,Blåbjerg Frede
2020,320,Blåbjerg Frede
2016,242,Blåbjerg Frede
1999,15,Blåbjerg Frede
1996,14,Blåbjerg Frede
1998,16,Blåbjerg Frede
2019,289,Blåbjerg Frede
2021,154,Blåbjerg Frede
2022,37,Blåbjerg Frede
1993,7,Blåbjerg Frede
1992,5,Blåbjerg Frede
1991,1,Blåbjerg Frede
1974,1,Blåbjerg Frede
2015,8,ALBERTSEN Mads
2013,5,ALBERTSEN Mads
2017,8,ALBERTSEN Mads
2016,9,ALBERTSEN Mads
2018,10,ALBERTSEN Mads
2011,1,ALBERTSEN Mads
2020,11,ALBERTSEN Mads
2021,7,ALBERTSEN Mads
2014,4,ALBERTSEN Mads
2019,5,ALBERTSEN Mads
2012,1,ALBERTSEN Mads
2022,10,ALBERTSEN Mads
2023,4,ALBERTSEN Mads
2011,21,SMEDSKJAER Morten
2010,17,SMEDSKJAER Morten
2016,27,SMEDSKJAER Morten
2013,21,SMEDSKJAER Morten
2017,45,SMEDSKJAER Morten
2018,47,SMEDSKJAER Morten
2014,26,SMEDSKJAER Morten
2012,23,SMEDSKJAER Morten
2019,37,SMEDSKJAER Morten
